train,train_label,val,val_label,test,test_label
normal_083,0.0,normal_067,0.0,test_001,1.0
normal_110,0.0,tumor_066,1.0,test_002,1.0
normal_021,0.0,normal_010,0.0,test_003,0.0
normal_058,0.0,normal_107,0.0,test_004,1.0
normal_063,0.0,normal_102,0.0,test_005,0.0
normal_047,0.0,tumor_101,1.0,test_006,0.0
normal_117,0.0,normal_150,0.0,test_007,0.0
normal_075,0.0,normal_069,0.0,test_008,1.0
normal_033,0.0,normal_106,0.0,test_009,0.0
normal_005,0.0,normal_122,0.0,test_010,1.0
normal_131,0.0,tumor_050,1.0,test_011,1.0
normal_044,0.0,normal_126,0.0,test_012,0.0
normal_133,0.0,tumor_102,1.0,test_013,1.0
normal_020,0.0,normal_156,0.0,test_014,0.0
normal_064,0.0,normal_095,0.0,test_015,0.0
normal_096,0.0,normal_099,0.0,test_016,1.0
normal_072,0.0,normal_094,0.0,test_017,0.0
normal_105,0.0,normal_061,0.0,test_018,0.0
normal_097,0.0,normal_160,0.0,test_019,0.0
normal_028,0.0,tumor_039,1.0,test_020,0.0
normal_009,0.0,normal_091,0.0,test_021,1.0
normal_041,0.0,tumor_105,1.0,test_022,0.0
normal_055,0.0,normal_073,0.0,test_023,0.0
normal_053,0.0,normal_151,0.0,test_024,0.0
normal_100,0.0,tumor_053,1.0,test_025,0.0
normal_112,0.0,tumor_025,1.0,test_026,1.0
normal_113,0.0,normal_145,0.0,test_027,1.0
normal_123,0.0,,,test_028,0.0
normal_029,0.0,,,test_029,1.0
normal_124,0.0,,,test_030,1.0
normal_065,0.0,,,test_031,0.0
normal_080,0.0,,,test_032,0.0
normal_115,0.0,,,test_033,1.0
normal_026,0.0,,,test_034,0.0
normal_038,0.0,,,test_035,0.0
normal_136,0.0,,,test_036,0.0
normal_030,0.0,,,test_037,0.0
normal_119,0.0,,,test_038,1.0
normal_016,0.0,,,test_039,0.0
normal_025,0.0,,,test_040,1.0
normal_134,0.0,,,test_041,0.0
normal_089,0.0,,,test_042,0.0
normal_074,0.0,,,test_043,0.0
normal_130,0.0,,,test_044,0.0
normal_141,0.0,,,test_045,0.0
normal_081,0.0,,,test_046,1.0
normal_159,0.0,,,test_047,0.0
normal_127,0.0,,,test_048,1.0
normal_128,0.0,,,test_050,0.0
normal_001,0.0,,,test_051,1.0
normal_050,0.0,,,test_052,1.0
normal_032,0.0,,,test_053,0.0
normal_031,0.0,,,test_054,0.0
normal_043,0.0,,,test_055,0.0
normal_149,0.0,,,test_056,0.0
normal_079,0.0,,,test_057,0.0
normal_108,0.0,,,test_058,0.0
normal_076,0.0,,,test_059,0.0
normal_040,0.0,,,test_060,0.0
normal_082,0.0,,,test_061,1.0
normal_036,0.0,,,test_062,0.0
normal_068,0.0,,,test_063,0.0
normal_153,0.0,,,test_064,1.0
normal_049,0.0,,,test_065,1.0
normal_015,0.0,,,test_066,1.0
normal_132,0.0,,,test_067,0.0
normal_120,0.0,,,test_068,1.0
normal_084,0.0,,,test_069,1.0
normal_024,0.0,,,test_070,0.0
normal_146,0.0,,,test_071,1.0
normal_004,0.0,,,test_072,0.0
normal_019,0.0,,,test_073,1.0
normal_158,0.0,,,test_074,1.0
normal_138,0.0,,,test_075,1.0
normal_143,0.0,,,test_076,0.0
normal_034,0.0,,,test_077,0.0
normal_118,0.0,,,test_078,0.0
normal_070,0.0,,,test_079,1.0
normal_139,0.0,,,test_080,0.0
normal_140,0.0,,,test_081,0.0
normal_116,0.0,,,test_082,1.0
normal_042,0.0,,,test_083,0.0
normal_051,0.0,,,test_084,1.0
normal_037,0.0,,,test_085,0.0
normal_104,0.0,,,test_086,0.0
normal_008,0.0,,,test_087,0.0
normal_071,0.0,,,test_088,0.0
normal_052,0.0,,,test_089,0.0
normal_022,0.0,,,test_090,1.0
normal_154,0.0,,,test_091,0.0
normal_054,0.0,,,test_092,1.0
normal_062,0.0,,,test_093,0.0
normal_003,0.0,,,test_094,1.0
normal_129,0.0,,,test_095,0.0
normal_093,0.0,,,test_096,0.0
normal_114,0.0,,,test_097,1.0
normal_087,0.0,,,test_098,0.0
normal_013,0.0,,,test_099,1.0
normal_101,0.0,,,test_100,0.0
normal_048,0.0,,,test_101,0.0
normal_017,0.0,,,test_102,1.0
normal_057,0.0,,,test_103,0.0
normal_046,0.0,,,test_104,1.0
normal_098,0.0,,,test_105,1.0
normal_092,0.0,,,test_106,0.0
normal_111,0.0,,,test_107,0.0
normal_137,0.0,,,test_108,1.0
normal_060,0.0,,,test_109,0.0
normal_006,0.0,,,test_110,1.0
normal_147,0.0,,,test_111,0.0
normal_007,0.0,,,test_112,0.0
tumor_110,1.0,,,test_113,1.0
tumor_085,1.0,,,test_114,1.0
tumor_103,1.0,,,test_115,0.0
tumor_007,1.0,,,test_116,1.0
tumor_030,1.0,,,test_117,1.0
tumor_076,1.0,,,test_118,0.0
tumor_079,1.0,,,test_119,0.0
tumor_041,1.0,,,test_120,0.0
tumor_058,1.0,,,test_121,1.0
tumor_065,1.0,,,test_122,1.0
tumor_017,1.0,,,test_123,0.0
tumor_096,1.0,,,test_124,0.0
tumor_097,1.0,,,test_125,0.0
tumor_034,1.0,,,test_126,0.0
tumor_002,1.0,,,test_127,0.0
tumor_109,1.0,,,test_128,0.0
tumor_064,1.0,,,test_129,0.0
tumor_051,1.0,,,test_130,0.0
tumor_026,1.0,,,,
tumor_045,1.0,,,,
tumor_042,1.0,,,,
tumor_059,1.0,,,,
tumor_087,1.0,,,,
tumor_082,1.0,,,,
tumor_013,1.0,,,,
tumor_092,1.0,,,,
tumor_032,1.0,,,,
tumor_038,1.0,,,,
tumor_111,1.0,,,,
tumor_006,1.0,,,,
tumor_068,1.0,,,,
tumor_091,1.0,,,,
tumor_090,1.0,,,,
tumor_052,1.0,,,,
tumor_100,1.0,,,,
tumor_095,1.0,,,,
tumor_011,1.0,,,,
tumor_098,1.0,,,,
tumor_108,1.0,,,,
tumor_018,1.0,,,,
tumor_074,1.0,,,,
tumor_104,1.0,,,,
tumor_010,1.0,,,,
tumor_062,1.0,,,,
tumor_077,1.0,,,,
tumor_106,1.0,,,,
tumor_061,1.0,,,,
tumor_078,1.0,,,,
tumor_093,1.0,,,,
tumor_027,1.0,,,,
tumor_012,1.0,,,,
tumor_024,1.0,,,,
tumor_020,1.0,,,,
tumor_036,1.0,,,,
tumor_008,1.0,,,,
tumor_004,1.0,,,,
tumor_022,1.0,,,,
tumor_071,1.0,,,,
tumor_019,1.0,,,,
tumor_001,1.0,,,,
tumor_028,1.0,,,,
tumor_048,1.0,,,,
tumor_075,1.0,,,,
tumor_049,1.0,,,,
tumor_005,1.0,,,,
tumor_009,1.0,,,,
tumor_023,1.0,,,,
tumor_031,1.0,,,,
tumor_055,1.0,,,,
tumor_033,1.0,,,,
tumor_094,1.0,,,,
tumor_069,1.0,,,,
tumor_084,1.0,,,,
tumor_040,1.0,,,,
tumor_086,1.0,,,,
tumor_029,1.0,,,,
tumor_044,1.0,,,,
tumor_072,1.0,,,,
tumor_056,1.0,,,,
tumor_070,1.0,,,,
tumor_037,1.0,,,,
tumor_054,1.0,,,,
tumor_021,1.0,,,,
normal_144,0.0,,,,
normal_002,0.0,,,,
normal_014,0.0,,,,
normal_035,0.0,,,,
normal_085,0.0,,,,
normal_155,0.0,,,,
normal_012,0.0,,,,
normal_135,0.0,,,,
normal_142,0.0,,,,
normal_090,0.0,,,,
normal_023,0.0,,,,
normal_152,0.0,,,,
normal_148,0.0,,,,
normal_059,0.0,,,,
normal_078,0.0,,,,
normal_027,0.0,,,,
normal_109,0.0,,,,
normal_157,0.0,,,,
normal_018,0.0,,,,
normal_056,0.0,,,,
normal_088,0.0,,,,
normal_045,0.0,,,,
normal_121,0.0,,,,
normal_125,0.0,,,,
normal_077,0.0,,,,
normal_039,0.0,,,,
normal_103,0.0,,,,
normal_066,0.0,,,,
normal_011,0.0,,,,
tumor_080,1.0,,,,
tumor_107,1.0,,,,
tumor_063,1.0,,,,
tumor_047,1.0,,,,
tumor_016,1.0,,,,
tumor_046,1.0,,,,
tumor_073,1.0,,,,
tumor_003,1.0,,,,
tumor_088,1.0,,,,
tumor_060,1.0,,,,
tumor_099,1.0,,,,
tumor_089,1.0,,,,
tumor_043,1.0,,,,
tumor_015,1.0,,,,
tumor_014,1.0,,,,
tumor_083,1.0,,,,
tumor_035,1.0,,,,
tumor_067,1.0,,,,
tumor_057,1.0,,,,
tumor_081,1.0,,,,
